奇瑞QQ3 2011款 0.8L 手动冠军版,6.96万公里,2011年11月,手动,0.8L,北京,0.88
威驰 2005款 1.5L GL-i MT,14.27万公里,2005年12月,手动,1.5L,北京,0.98
福克斯 2007款 两厢 1.8L 手动舒适型,15.5万公里,2008年2月,手动,1.8L,北京,1.6
知豆D1 2015款 标准型,2.2万公里,2015年12月,自动,0L,北京,1.68
金杯海狮 2008款 2.0L 手动,11万公里,2008年6月,手动,2L,北京,1.78
江淮iEV 2015款 iEV4 豪华型,4万公里,2015年11月,自动,0L,北京,1.8
奇瑞eQ 2015款 舒适型,5.5万公里,2015年6月,自动,0L,北京,1.98
奥拓 2013款 1.0L 手动实用型,4.6万公里,2014年3月,手动,1L,北京,1.98
江淮iEV 2015款 iEV4 豪华型,2.3万公里,2016年9月,自动,0L,北京,2.2
奥迪A6 2004款 2.4L 技术领先型,17万公里,2003年9月,自动,2.4L,北京,2.2
北汽新能源EC 2017款 EC180 灵动版,1.7万公里,2017年3月,自动,0L,北京,2.3
知豆D2 2016款 D2S,0.7万公里,2016年11月,自动,0L,北京,2.3
奇瑞QQ3 2011款 0.8L 手动冠军版,6.96万公里,2011年11月,手动,0.8L,北京,0.88
威驰 2005款 1.5L GL-i MT,14.27万公里,2005年12月,手动,1.5L,北京,0.98
福克斯 2007款 两厢 1.8L 手动舒适型,15.5万公里,2008年2月,手动,1.8L,北京,1.6
知豆D1 2015款 标准型,2.2万公里,2015年12月,自动,0L,北京,1.68
金杯海狮 2008款 2.0L 手动,11万公里,2008年6月,手动,2L,北京,1.78
江淮iEV 2015款 iEV4 豪华型,4万公里,2015年11月,自动,0L,北京,1.8
奇瑞eQ 2015款 舒适型,5.5万公里,2015年6月,自动,0L,北京,1.98
奥拓 2013款 1.0L 手动实用型,4.6万公里,2014年3月,手动,1L,北京,1.98
江淮iEV 2015款 iEV4 豪华型,2.3万公里,2016年9月,自动,0L,北京,2.2
奥迪A6 2004款 2.4L 技术领先型,17万公里,2003年9月,自动,2.4L,北京,2.2
北汽新能源EC 2017款 EC180 灵动版,1.7万公里,2017年3月,自动,0L,北京,2.3
知豆D2 2016款 D2S,0.7万公里,2016年11月,自动,0L,北京,2.3
江淮iEV 2015款 iEV5,3万公里,2015年9月,自动,0L,北京,2.38
飞度 2004款 1.5L CVT,17万公里,2005年12月,自动,1.5L,北京,2.5
明锐 2007款 1.6L 自动逸仕版,16.9万公里,2008年10月,自动,1.6L,北京,2.5
北汽新能源EC 2017款 EC180 灵秀版,1.9万公里,2017年4月,自动,0L,北京,2.6
